POINT_IDX,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15,DI/DT0,DI/DT1,DI/DT2,DI/DT3,DI/DT4,DI/DT5,DI/DT6,DI/DT7,DI/DT8,DI/DT9,DI/DT10,DI/DT11,DI/DT12,DI/DT13,DI/DT14,DI/DT15
0,0.0,0.55,0.033331,0.041659999999999996,3.337494,3.1208280000000004,0.641664,2.0333289999999997,0.029159,0.029159,10.029164999999999,0.96666,0.024994,4.633331,0.283329,7.879162,5.191660000000001,3.658326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.272,0.55,0.033331,0.033331,3.3666609999999997,3.108327,0.6333270000000001,2.037493,0.033331,0.024994,10.008327,0.962496,0.024994,4.633331,0.291665,7.870824999999999,5.199997000000001,3.641661,0.0,-0.03062132352941175,0.10723161764705778,-0.045959558823530575,-0.030650735294117378,0.015308823529412787,0.01533823529411764,-0.015312500000000007,-0.0766102941176451,-0.015308823529411564,0.0,0.0,0.030647058823529447,-0.030650735294121052,0.030650735294117788,-0.06126838235294173
2,0.545,0.55,0.016665,0.024994,3.3583320000000003,3.1166630000000004,0.641664,2.0333289999999997,0.024994,0.029159,10.020828,0.962496,0.020829999999999998,4.637496,0.29583000000000004,7.8749970000000005,5.212498,3.637497,-0.061047619047619045,-0.03053846153846154,-0.03050915750915518,0.03053479853479979,0.03053846153846127,-0.015252747252748272,-0.03053846153846154,0.015256410256410263,0.04579120879120995,0.0,-0.015252747252747256,0.015256410256408535,0.015256410256410365,0.015282051282056397,0.0457912087912067,-0.015252747252746645
3,0.817,0.55,0.004164,0.024994,3.370825,3.1249919999999998,0.649993,2.0041629999999997,0.008329,0.012493,10.033329,0.9541590000000001,0.020829999999999998,4.624995,0.270828,7.879162,5.2249989999999995,3.649998,-0.04595955882352942,0.0,0.045930147058822236,0.03062132352940944,0.030621323529411888,-0.10722794117647072,-0.06126838235294119,-0.061272058823529436,0.045959558823530595,-0.030650735294117392,0.0,-0.04595955882352733,-0.09191911764705894,0.015312499999998277,0.04595955882352733,0.045959558823528965
4,1.09,0.55,0.020829999999999998,0.029159,3.3666609999999997,3.1249919999999998,0.612497,2.012499,0.016665,0.033331,10.041666,0.962496,0.029159,4.620830000000001,0.270828,7.887498,5.229163000000001,3.654162,0.061047619047619,0.015256410256410257,-0.015252747252748266,0.0,-0.1373479853479856,0.030534798534799776,0.03053479853479852,0.0763296703296703,0.030538461538458413,0.030538461538461258,0.030509157509157506,-0.015256410256408528,0.0,0.03053479853479815,0.01525274725275152,0.015252747252746638
5,1.362,0.55,0.016665,0.008329,3.3666609999999997,3.1249919999999998,0.641664,2.029165,0.016665,0.024994,10.024993,0.970833,0.033331,4.624995,0.287493,7.870824999999999,5.233328,3.6666630000000002,-0.015312499999999993,-0.07658088235294118,0.0,0.0,0.10723161764705902,0.06127205882352885,0.0,-0.03065073529411765,-0.06129779411764356,0.030650735294117378,0.01533823529411764,0.015312499999998272,0.06126838235294112,-0.061297794117650094,0.015312499999998272,0.045959558823530575
6,1.635,0.55,0.020829999999999998,0.020829999999999998,3.3583320000000003,3.129164,0.641664,2.029165,0.008329,0.012493,10.041666,0.94583,0.024994,4.6458319999999995,0.270828,7.854160000000001,5.233328,3.658326,0.015256410256410256,0.0457912087912088,-0.030509157509155192,0.015282051282051524,0.0,0.0,-0.030534798534798544,-0.0457912087912088,0.06107326007325661,-0.0915860805860806,-0.030538461538461553,0.07632600732600489,-0.06104395604395601,-0.06104395604394849,0.0,-0.03053846153846169
7,1.908,0.55,0.024994,0.016665,3.345831,3.137493,0.6374920000000001,2.0333289999999997,0.033331,0.029159,10.016664,0.962496,0.012493,4.620830000000001,0.291665,7.841658999999999,5.204161,3.658326,0.015252747252747261,-0.015256410256410256,-0.04579120879120997,0.030509157509158447,-0.015282051282051116,0.015252747252746652,0.09158241758241761,0.061047619047619066,-0.09158241758241344,0.06104761904761932,-0.0457912087912088,-0.09158241758241344,0.07632600732600733,-0.045791208791216474,-0.10683882783882848,0.0
8,2.18,0.55,0.016665,0.024994,3.3541600000000003,3.1249919999999998,0.604161,2.041666,0.016665,0.020829999999999998,10.037494,0.9499949999999999,-8e-06,4.637496,0.299994,7.849995000000001,5.229163000000001,3.670827,-0.030621323529411736,0.030621323529411736,0.03062132352941267,-0.04595955882353054,-0.12254044117647088,0.030650735294119394,-0.06127205882352936,-0.03062132352941175,0.07658088235294157,-0.04595955882352972,-0.045959558823529374,0.06127205882352553,0.030621323529411645,0.030647058823535543,0.09191911764706108,0.0459595588235289
9,2.453,0.55,0.012493,0.016665,3.3666609999999997,3.112499,0.6166619999999999,2.0333289999999997,0.012493,0.012493,10.024993,0.933329,0.029159,4.620830000000001,0.287493,7.879162,5.212498,3.649998,-0.015282051282051295,-0.03050915750915754,0.04579120879120675,-0.045761904761903505,0.045791208791208786,-0.030538461538463343,-0.015282051282051295,-0.030538461538461563,-0.04579120879121001,-0.06104761904761897,0.10683882783882796,-0.061047619047615305,-0.045791208791208786,0.10683882783882531,-0.0610439560439583,-0.07629670329670334
