Repeat,VAR2,Point,D1__CH1 Voltage,D1__CH1 Current,D1__CH1 Resistance,D1__CH1 Time,D1__CH2 Voltage,D1__CH2 Current,D1__CH2 Resistance,D1__CH2 Time,D2__CH1 Voltage,D2__CH1 Current,D2__CH1 Resistance,D2__CH1 Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,99.99990E-003,35.92230E-006,2.78378E+003,95.31900E-003,100.00000E-003,52.92820E-006,1.88935E+003,95.31900E-003,100.00000E-003,271.15100E-006,368.79820E+000,91.27000E-003,-300.00000E-003,-1.59401E-006,91.27000E-003
1,1,2,100.00000E-003,35.89160E-006,2.78617E+003,214.77900E-003,100.00000E-003,52.85230E-006,1.89207E+003,214.77900E-003,100.00000E-003,270.92900E-006,369.10039E+000,214.11200E-003,-293.00000E-003,-1.30783E-006,214.11200E-003
1,1,3,99.99990E-003,35.85120E-006,2.78930E+003,339.63300E-003,100.00000E-003,52.75820E-006,1.89544E+003,339.63300E-003,100.00000E-003,270.61700E-006,369.52594E+000,337.02400E-003,-286.00000E-003,-1.10390E-006,337.02400E-003
1,1,4,99.99990E-003,35.81490E-006,2.79213E+003,466.88800E-003,100.00000E-003,52.65870E-006,1.89902E+003,466.88800E-003,99.99990E-003,270.27000E-006,370.00000E+000,466.59000E-003,-279.00000E-003,-939.80000E-009,466.59000E-003
1,1,5,99.99990E-003,35.76860E-006,2.79575E+003,590.92400E-003,100.00000E-003,52.55900E-006,1.90262E+003,590.92400E-003,100.00000E-003,269.88000E-006,370.53505E+000,591.91300E-003,-271.99800E-003,-793.99700E-009,591.91300E-003
1,1,6,99.99990E-003,35.73040E-006,2.79873E+003,754.00200E-003,100.00000E-003,52.45610E-006,1.90636E+003,754.00200E-003,100.00000E-003,269.45700E-006,371.11673E+000,746.18700E-003,-264.99800E-003,-671.79700E-009,746.18700E-003
1,1,7,100.00000E-003,35.69340E-006,2.80164E+003,875.98500E-003,100.00000E-003,52.34540E-006,1.91039E+003,875.98500E-003,100.00000E-003,269.03100E-006,371.70438E+000,873.14100E-003,-257.99700E-003,-543.09000E-009,873.14100E-003
1,1,8,99.99990E-003,35.65290E-006,2.80482E+003,1.00328E+000,100.00000E-003,52.23550E-006,1.91441E+003,1.00328E+000,100.00000E-003,268.57800E-006,372.33132E+000,1.00175E+000,-250.99700E-003,-430.27600E-009,1.00175E+000
1,1,9,100.00000E-003,35.61130E-006,2.80810E+003,1.12505E+000,100.00000E-003,52.11940E-006,1.91867E+003,1.12505E+000,100.00000E-003,268.11000E-006,372.98124E+000,1.12311E+000,-243.99700E-003,-319.71000E-009,1.12311E+000
1,1,10,99.99990E-003,35.57270E-006,2.81114E+003,1.26750E+000,100.00000E-003,51.99870E-006,1.92313E+003,1.26750E+000,100.00000E-003,267.59200E-006,373.70325E+000,1.26904E+000,-236.99700E-003,-243.86100E-009,1.26904E+000
1,1,11,99.99990E-003,35.52670E-006,2.81478E+003,1.39480E+000,100.00000E-003,51.87510E-006,1.92771E+003,1.39480E+000,100.00000E-003,266.95300E-006,374.59778E+000,1.46046E+000,-229.99600E-003,-257.82800E-009,1.46046E+000
1,1,12,99.99990E-003,35.48870E-006,2.81780E+003,1.60132E+000,100.00000E-003,51.74230E-006,1.93265E+003,1.60132E+000,100.00000E-003,266.34400E-006,375.45430E+000,1.68712E+000,-222.99900E-003,-240.88300E-009,1.68712E+000
1,1,13,100.00000E-003,35.44830E-006,2.82101E+003,1.80638E+000,100.00010E-003,51.61370E-006,1.93747E+003,1.80638E+000,100.00000E-003,265.78700E-006,376.24113E+000,1.87340E+000,-215.99700E-003,-166.54400E-009,1.87340E+000
1,1,14,100.00000E-003,35.40960E-006,2.82409E+003,1.99535E+000,100.00000E-003,51.48840E-006,1.94219E+003,1.99535E+000,100.00000E-003,265.26500E-006,376.98151E+000,2.00678E+000,-208.84140E-003,-17.70770E-009,2.00678E+000
1,1,15,99.99990E-003,35.36280E-006,2.82783E+003,2.12445E+000,100.00000E-003,51.36200E-006,1.94696E+003,2.12445E+000,100.00000E-003,264.77100E-006,377.68487E+000,2.12994E+000,-201.99710E-003,81.65500E-009,2.12994E+000
