POINT_IDX,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15,DI/DT0,DI/DT1,DI/DT2,DI/DT3,DI/DT4,DI/DT5,DI/DT6,DI/DT7,DI/DT8,DI/DT9,DI/DT10,DI/DT11,DI/DT12,DI/DT13,DI/DT14,DI/DT15
10,2.725,0.6,10.729162,9.645828,8.266664,10.174997,10.849993,6.054163,11.012497999999999,9.012492,9.358327000000001,6.29166,8.191665,8.699997,9.195827999999999,-0.054169,9.604159999999998,9.095827,0.015312500000001525,-0.04595955882353054,-0.10722794117647058,-0.07658455882353359,0.0,0.0612720588235288,0.015334558823527489,-0.04595955882353054,0.06127205882353206,0.0,0.06127205882353206,0.04595955882353054,0.0,-0.10723161764705874,-0.07661029411765156,-0.04595955882353054
11,2.998,0.6,10.75,9.662493,8.299994,10.191663,10.820825999999999,6.079165000000001,11.016663,9.041659,9.337497,6.279159,8.174999,8.716662999999999,9.208329,-0.058341,9.612497,9.112493,0.07632967032966835,0.06104395604395495,0.1220879120879099,0.061047619047621716,-0.10683882783883164,0.09158241758241986,0.015256410256411782,0.10683882783882513,-0.07630036630036673,-0.04579120879120993,-0.061047619047621716,0.06104761904761521,0.04579120879121644,-0.015282051282051257,0.030538461538464918,0.061047619047621716
12,3.271,0.6,10.754164,9.691659,8.329161,10.179162,10.854164,6.049999000000001,10.987496,9.037494,9.337497,6.27083,8.187492,8.691661,9.216667000000001,-0.054169,9.620825,9.12083,0.015252747252745037,0.10683516483516504,0.10683882783882531,-0.04579120879121001,0.12211721611722472,-0.10683516483516504,-0.10683882783882531,-0.0152564102564053,0.0,-0.030509157509156844,0.04576190476190839,-0.0915824175824135,0.03054212454212523,0.015282051282051281,0.03050549450549658,0.03053846153845846
13,3.543,0.6,10.712496,9.679158000000001,8.287493000000001,10.154160000000001,10.833327,6.062492,11.004161999999999,9.037494,9.333332,6.254164,8.162498,8.679160000000001,9.22083,-0.058341,9.595831,9.14166,-0.1531911764705866,-0.04595955882352401,-0.1531911764705801,-0.09191911764705454,-0.07660661764705955,0.04593014705882054,0.06127205882352553,0.0,-0.015312500000001525,-0.0612720588235288,-0.09188970588235762,-0.04595955882352401,0.015305147058817496,-0.015338235294117616,-0.09188970588235108,0.07658088235294157
14,3.816,0.6,10.729162,9.687496000000001,8.283329,10.158332,10.837499,6.037497,11.016663,9.041659,9.291663999999999,6.283331,8.133332,8.708326,9.233331999999999,-0.04584,9.608332,9.104165,0.061047619047621814,0.03054212454212523,-0.015252747252751544,0.015282051282046656,0.015282051282046656,-0.0915567765567754,0.04579120879121001,0.0152564102564053,-0.15263003663004182,0.10683882783882856,-0.10683516483516504,0.10683516483515855,0.04579487179487027,0.045791208791208834,0.04579120879121001,-0.1373443223443219
15,4.088,0.6,10.716661,9.666665,8.312496,10.170826,10.849993,6.054163,10.937491999999999,9.037494,9.32916,6.279159,8.174999,8.654165,9.212494000000001,-0.050004,9.624998,9.104165,-0.04595955882353054,-0.07658455882353359,0.10723161764705606,0.04593382352941256,0.04593382352941256,0.0612720588235288,-0.2910698529411782,-0.015312499999994993,0.13785294117647365,-0.015338235294119503,0.15318750000000111,-0.19912132352940715,-0.0766102941176385,-0.015308823529411755,0.06127205882352553,0.0
16,4.361,0.6,10.699995000000001,9.679158000000001,8.274992,10.179162,10.862494,6.045826,10.945829,9.02083,9.345826,6.274994,8.170828,8.708326,9.22083,-0.062505,9.595831,9.112493,-0.061047619047615305,0.04576190476190839,-0.13737728937729027,0.0305347985347982,0.04579120879121001,-0.030538461538461716,0.03053846153846497,-0.061040293040294784,0.061047619047621814,-0.015256410256408552,-0.015278388278386394,0.1983919413919372,0.030534798534791692,-0.04579120879120886,-0.10683882783882531,0.03050549450549658
17,4.633,0.6,10.75,9.695832000000001,8.274992,10.141658999999999,10.854164,6.074993,11.008327,8.999999,9.341661,6.249992,8.154162,8.687496,9.195827999999999,-0.033339,9.608332,9.112493,0.1838419117647011,0.061301470588235527,0.0,-0.13787867647059163,-0.03062499999999652,0.10723161764705934,0.2297720588235282,-0.07658455882352706,-0.015312500000001525,-0.09191911764706108,-0.06127205882353206,-0.07658088235294157,-0.09191911764706108,0.10722794117647051,0.04595955882353054,0.0
18,4.906,0.6,10.724997,9.666665,8.270826999999999,10.174997,10.833327,6.037497,10.966659,9.037494,9.304166,6.283331,8.179164,8.679160000000001,9.208329,-0.050004,9.574993999999998,9.149996,-0.09158608058608028,-0.10683882783883182,-0.015256410256411806,0.12211721611721821,-0.07632600732600821,-0.1373479853479854,-0.15263003663003533,0.1373443223443219,-0.1373443223443219,0.12212087912088172,0.09158241758242001,-0.030534798534791692,0.045791208791216516,-0.06104395604395611,-0.12211721611722472,0.13737362637362352
19,5.179,0.6,10.737499000000001,9.683331,8.29583,10.174997,10.845828000000001,6.054163,10.991661,9.004164000000001,9.299994,6.258329,8.199993000000001,8.708326,9.224995,-0.06667000000000001,9.554164,9.133331,0.045794871794876624,0.06104761904762161,0.09158608058608649,0.0,0.045791208791209854,0.06104761904761836,0.09158241758241971,-0.12208791208790969,-0.015282051282053113,-0.09158241758241971,0.07629670329670633,0.10683516483515819,0.06104761904761511,-0.06104761904761895,-0.07630036630036009,-0.06104395604395484
