POINT,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15
0,0.0,-0.5,-5.8341e-08,-6.2505e-08,-5.8341e-08,-5.0004e-08,-4.584e-08,-4.584e-08,-5.4169e-08,-5.4169e-08,-5.0004e-08,-4.1668e-08,-5.8341e-08,-4.1668e-08,-4.584e-08,-5.0004e-08,-4.584e-08,3.879165e-06
1,0.323,-0.49,-3.7503e-08,-4.584e-08,-4.1668e-08,-3.7503e-08,-3.7503e-08,-3.3339e-08,-3.7503e-08,-3.3339e-08,-3.3339e-08,-3.7503e-08,-3.7503e-08,-3.7503e-08,-4.1668e-08,-3.3339e-08,-4.1668e-08,3.829161e-06
2,0.645,-0.48,-3.7503e-08,-3.3339e-08,-2.9174e-08,-3.7503e-08,-3.3339e-08,-2.9174e-08,-2.9174e-08,-3.3339e-08,-3.7503e-08,-2.9174e-08,-3.3339e-08,-2.5002e-08,-3.7503e-08,-3.3339e-08,-3.3339e-08,3.787494e-06
3,0.968,-0.47,-2.9174e-08,-2.5002e-08,-2.9174e-08,-3.3339e-08,-3.3339e-08,-3.7503e-08,-2.5002e-08,-2.9174e-08,-2.5002e-08,-2.9174e-08,-2.9174e-08,-2.5002e-08,-2.9174e-08,-2.9174e-08,-3.7503e-08,3.745826e-06
4,1.291,-0.46,-2.5002e-08,-2.5002e-08,-2.9174e-08,-2.9174e-08,-3.3339e-08,-2.9174e-08,-3.7503e-08,-2.0838e-08,-3.3339e-08,-2.5002e-08,-2.9174e-08,-2.5002e-08,-2.5002e-08,-3.3339e-08,-2.9174e-08,3.724996e-06
5,1.614,-0.45,-2.5002e-08,-2.5002e-08,-2.9174e-08,-2.9174e-08,-3.3339e-08,-3.3339e-08,-2.5002e-08,-2.9174e-08,-2.9174e-08,-2.0838e-08,-2.5002e-08,-2.9174e-08,-2.5002e-08,-2.0838e-08,-2.5002e-08,3.691665e-06
6,1.937,-0.44,-2.0838e-08,-2.0838e-08,-2.5002e-08,-3.7503e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.9174e-08,-2.5002e-08,-2.0838e-08,-2.9174e-08,-2.0838e-08,-2.0838e-08,-2.5002e-08,3.649998e-06
7,2.259,-0.43,-2.5002e-08,-8.337e-09,-2.5002e-08,-2.5002e-08,-2.0838e-08,-3.3339e-08,-2.9174e-08,-2.9174e-08,-2.5002e-08,-2.0838e-08,-2.5002e-08,-2.9174e-08,-3.3339e-08,-2.0838e-08,-2.9174e-08,3.637497e-06
8,2.582,-0.42,-2.5002e-08,-2.5002e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.5002e-08,-2.5002e-08,-2.0838e-08,-2.5002e-08,-2.0838e-08,-2.5002e-08,-2.9174e-08,-2.9174e-08,-2.5002e-08,3.604166e-06
9,2.905,-0.41,-1.6673e-08,-2.5002e-08,-2.5002e-08,-2.5002e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.5002e-08,-2.9174e-08,-2.9174e-08,-2.0838e-08,-2.0838e-08,-2.9174e-08,-2.5002e-08,3.583328e-06
10,3.228,-0.4,-2.9174e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.9174e-08,-2.0838e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-2.9174e-08,-2.9174e-08,-3.3339e-08,-2.0838e-08,-2.5002e-08,-2.0838e-08,3.54166e-06
11,3.551,-0.39,-2.5002e-08,-3.3339e-08,-2.9174e-08,-4.1668e-08,-2.9174e-08,-1.6673e-08,-2.0838e-08,-2.9174e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,3.52083e-06
12,3.873,-0.38,-2.5002e-08,-1.6673e-08,-2.9174e-08,-2.5002e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,3.491664e-06
13,4.196,-0.37,-2.5002e-08,-2.5002e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-2.5002e-08,-1.6673e-08,-2.5002e-08,-2.0838e-08,-1.2501e-08,-2.5002e-08,-8.337e-09,-2.5002e-08,-2.0838e-08,-1.6673e-08,3.462497e-06
14,4.519,-0.36,-1.6673e-08,-2.0838e-08,-3.3339e-08,-1.6673e-08,-2.5002e-08,-1.6673e-08,-1.6673e-08,-2.5002e-08,-2.9174e-08,-2.9174e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,3.445832e-06
15,4.842,-0.35,-2.5002e-08,-2.9174e-08,-2.0838e-08,-2.0838e-08,-2.9174e-08,-2.5002e-08,-1.6673e-08,-1.6673e-08,-2.5002e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,-2.0838e-08,-2.9174e-08,-2.5002e-08,3.412493e-06
16,5.165,-0.34,-2.5002e-08,-2.0838e-08,-1.6673e-08,-2.9174e-08,-2.5002e-08,-2.0838e-08,-1.6673e-08,-2.9174e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.9174e-08,3.379162e-06
17,5.488,-0.33,-2.0838e-08,-2.9174e-08,-1.6673e-08,-1.2501e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.5002e-08,-2.5002e-08,-2.0838e-08,-2.5002e-08,-2.0838e-08,-1.6673e-08,3.345831e-06
18,5.81,-0.32,-2.0838e-08,-2.9174e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.5002e-08,-2.0838e-08,-1.6673e-08,-2.5002e-08,-1.6673e-08,-2.0838e-08,-2.9174e-08,-2.0838e-08,3.33333e-06
19,6.133,-0.31,-1.2501e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,-1.6673e-08,-1.2501e-08,-1.6673e-08,-2.5002e-08,-2.9174e-08,-1.2501e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.9174e-08,3.299999e-06
20,6.456,-0.3,-1.2501e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-1.2501e-08,-2.5002e-08,-2.0838e-08,-2.5002e-08,-1.6673e-08,-2.5002e-08,-1.2501e-08,-1.6673e-08,-2.0838e-08,3.270833e-06
21,6.779,-0.29,-2.5002e-08,-2.9174e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-1.6673e-08,-2.5002e-08,-1.6673e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-2.9174e-08,-2.5002e-08,3.233329e-06
22,7.102,-0.28,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.9174e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-8.337e-09,-2.9174e-08,-2.5002e-08,-1.6673e-08,-2.9174e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,3.204163e-06
23,7.424,-0.27,-2.0838e-08,-1.6673e-08,-1.6673e-08,-2.5002e-08,-2.9174e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-1.2501e-08,-2.5002e-08,-2.0838e-08,-1.6673e-08,-2.9174e-08,-2.0838e-08,-2.0838e-08,3.179161e-06
24,7.747,-0.26,-2.0838e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-1.2501e-08,-1.6673e-08,-2.5002e-08,-2.0838e-08,-1.6673e-08,-1.2501e-08,-1.2501e-08,-2.5002e-08,-2.5002e-08,-2.9174e-08,-2.0838e-08,3.129164e-06
25,8.07,-0.25,-1.6673e-08,-8.337e-09,-2.9174e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-3.3339e-08,-1.6673e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,-2.5002e-08,3.129164e-06
26,8.393,-0.24,-2.0838e-08,-1.2501e-08,-1.2501e-08,-1.6673e-08,-2.5002e-08,-2.9174e-08,-1.6673e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,-2.9174e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,3.095826e-06
27,8.716,-0.23,-1.6673e-08,-2.0838e-08,-1.2501e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-2.9174e-08,-2.9174e-08,-8.337e-09,-1.6673e-08,-2.5002e-08,-2.0838e-08,-1.2501e-08,3.074996e-06
28,9.038,-0.22,-1.2501e-08,-2.5002e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-2.9174e-08,-2.5002e-08,-1.6673e-08,-1.2501e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,3.033328e-06
29,9.361,-0.21,-2.0838e-08,-1.2501e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,-2.5002e-08,-1.6673e-08,-2.5002e-08,-1.6673e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,3.008326e-06
30,9.684,-0.2,-1.6673e-08,-1.6673e-08,-3.3339e-08,-2.0838e-08,-8.337e-09,-1.6673e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.9174e-08,-2.5002e-08,-1.6673e-08,-1.2501e-08,-1.6673e-08,-2.5002e-08,2.974995e-06
31,10.007,-0.19,-1.6673e-08,-2.5002e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,-2.9174e-08,-2.9174e-08,-2.5002e-08,-2.0838e-08,-1.6673e-08,-1.2501e-08,-2.5002e-08,-2.5002e-08,-1.6673e-08,-2.0838e-08,2.949993e-06
32,10.33,-0.18,-2.0838e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-1.2501e-08,-1.2501e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-2.5002e-08,-2.0838e-08,2.912498e-06
33,10.653,-0.17,-1.6673e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-2.5002e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-2.9174e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.5002e-08,-2.5002e-08,2.904161e-06
34,10.975,-0.16,-2.5002e-08,-1.6673e-08,-1.2501e-08,-1.6673e-08,-1.6673e-08,-2.0838e-08,-3.7503e-08,-2.5002e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-2.5002e-08,-2.9174e-08,-1.6673e-08,-2.0838e-08,2.874994e-06
35,11.298,-0.15,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-2.5002e-08,-2.5002e-08,-2.5002e-08,-1.6673e-08,-1.2501e-08,-1.6673e-08,-2.5002e-08,2.837499e-06
36,11.621,-0.14,-2.0838e-08,-2.5002e-08,-2.0838e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-2.9174e-08,-2.5002e-08,-8.337e-09,-3.3339e-08,-1.2501e-08,2.816661e-06
37,11.944,-0.13,-2.0838e-08,-1.6673e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,-2.9174e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,-2.5002e-08,-2.0838e-08,-2.0838e-08,-2.0838e-08,2.795831e-06
38,12.267,-0.12,-1.6673e-08,-2.0838e-08,-2.0838e-08,-2.5002e-08,-2.5002e-08,-2.9174e-08,-1.6673e-08,-1.6673e-08,-1.2501e-08,-2.5002e-08,-1.6673e-08,-1.6673e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,2.774994e-06
39,12.589,-0.11,-2.5002e-08,-1.2501e-08,-1.6673e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-2.9174e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-2.9174e-08,-1.2501e-08,-1.2501e-08,-2.0838e-08,2.745827e-06
40,12.912,-0.1,-2.0838e-08,-2.5002e-08,-1.6673e-08,-2.0838e-08,-1.6673e-08,-1.6673e-08,-2.0838e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,-2.5002e-08,-2.5002e-08,-2.0838e-08,-1.6673e-08,-2.0838e-08,2.708332e-06
