POINT,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15
0,0.0,-0.5,8.108333e-05,8.1079168e-05,8.1079168e-05,8.1079168e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.108333e-05
1,0.411,-0.49,8.1100006e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1079168e-05,8.1079168e-05,8.108333e-05,8.1087499e-05
2,0.821,-0.48,8.1104168e-05,8.1087499e-05,8.1091668e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1079168e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.108333e-05,8.1087499e-05
3,1.232,-0.47,8.1100006e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05,8.108333e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.108333e-05
4,1.642,-0.46,8.1104168e-05,8.108333e-05,8.1087499e-05,8.108333e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1079168e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05,8.1087499e-05,8.1087499e-05
5,2.053,-0.45,8.1100006e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1079168e-05,8.109583e-05,8.1091668e-05,8.1087499e-05,8.1091668e-05,8.1079168e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.1087499e-05
6,2.464,-0.44,8.1104168e-05,8.108333e-05,8.1079168e-05,8.1087499e-05,8.1091668e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05
7,2.874,-0.43,8.1104168e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05,8.1091668e-05
8,3.285,-0.42,8.1104168e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.1091668e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05
9,3.695,-0.41,8.109583e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05,8.1087499e-05,8.1091668e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05
10,4.106,-0.4,8.1091668e-05,8.109583e-05,8.1087499e-05,8.1091668e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1070837e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05,8.1087499e-05,8.1087499e-05
11,4.516,-0.39,8.1100006e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1091668e-05
12,4.927,-0.38,8.1104168e-05,8.1087499e-05,8.1091668e-05,8.1091668e-05,8.1091668e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1079168e-05,8.108333e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05
13,5.338,-0.37,8.1104168e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.1087499e-05,8.108333e-05,8.1087499e-05,8.1087499e-05,8.109583e-05,8.1087499e-05
