POINT,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15
0,0.0,-0.2,8.1145838e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1124999e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05
1,0.41,-0.19,8.1145838e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.112083e-05,8.113333e-05
2,0.821,-0.18,8.1166661e-05,8.113333e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.1129168e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.112083e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.1124999e-05
3,1.231,-0.17,8.1145838e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1124999e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05
4,1.642,-0.16,8.1154161e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1124999e-05,8.113333e-05,8.113333e-05,8.1129168e-05,8.1124999e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05
5,2.053,-0.15,8.1166661e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.112083e-05,8.113333e-05,8.1124999e-05
6,2.463,-0.14,8.1154161e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.1124999e-05,8.113333e-05,8.1137499e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05
7,2.874,-0.13,8.11625e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05
8,3.284,-0.12,8.1154161e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1129168e-05,8.113333e-05,8.1124999e-05,8.1124999e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.1137499e-05
9,3.695,-0.11,8.1145838e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.1124999e-05
