POINT_IDX,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15,DI/DT0,DI/DT1,DI/DT2,DI/DT3,DI/DT4,DI/DT5,DI/DT6,DI/DT7,DI/DT8,DI/DT9,DI/DT10,DI/DT11,DI/DT12,DI/DT13,DI/DT14,DI/DT15
10,2.726,0.75,14.558331,14.99583,22.645831,22.916667,23.433327,22.716666,14.116661,23.883326999999998,4.187496,19.954165,14.187495,6.962498,19.929163000000003,4.170831,4.187496,4.199997,0.06104395604395495,0.198421245421245,0.04579120879120993,0.19842124542123848,0.16787912087911983,-0.015249084249091258,0.2441831501831533,-0.09158241758241986,0.2442087912087914,0.061047619047621716,0.1526263736263748,0.4731391941391932,-0.13737728937728355,-0.015252747252748266,0.10683516483516488,0.21367032967032976
11,2.998,0.75,14.554159,15.016658999999999,22.641667,22.908331,23.416662000000002,22.708329,14.183331,23.924995,4.17916,20.008325000000003,14.20416,6.949997,19.912497000000002,4.149993,4.191661,4.199997,-0.015338235294119503,0.07657720588234956,-0.01530882352940951,-0.030647058823529014,-0.06126838235292699,-0.030650735294121028,0.24511029411764768,0.15319117647059313,-0.030647058823529014,0.19911764705883472,0.06126838235294005,-0.04595955882353054,-0.06127205882353206,-0.07661029411764504,0.01531249999999826,0.0
12,3.271,0.75,14.595827,14.970827,22.595827,22.954162,23.454166,22.737495,14.145828,23.916666000000003,4.129163,19.949991999999998,14.195832,6.991665,19.941665,4.17916,4.166659,4.149993,0.15263003663003533,-0.16788278388278036,-0.167912087912095,0.1678791208791201,0.13737728937728377,0.10683516483516504,-0.13737362637363001,-0.03050915750914383,-0.1831391941391954,-0.21367399267400988,-0.03050549450549658,0.15263003663003857,0.10684249084248558,0.10683882783882856,-0.09158241758241675,-0.1831648351648335
13,3.544,0.75,14.579161,14.99583,22.616665,22.845832,23.429164,22.708329,14.179166,23.937495,4.195825,20.012498,14.20416,6.9583260000000005,19.991659000000002,4.162494,4.174995,4.162494,-0.061047619047621716,0.09158608058608013,0.07632967032967485,-0.3968131868131819,-0.09158241758241986,-0.10683516483516488,0.12211721611721801,0.07629670329668695,0.24418315018315007,0.22895970695971643,0.03050549450549653,-0.12212087912087828,0.18312820512821107,-0.061047619047621716,0.03053479853479815,0.045791208791206676
14,3.816,0.75,14.579161,14.974999,22.604163000000003,22.904165000000003,23.416662000000002,22.716666,14.145828,23.908329,4.120827,19.866666000000002,14.10416,6.983327999999999,19.987496,4.15833,4.166659,4.170831,0.0,-0.07658455882352719,-0.04596323529410957,0.21445955882353354,-0.04596323529410957,0.030650735294121077,-0.12256617647059029,-0.10722794117647076,-0.2757279411764704,-0.5361470588235248,-0.3676470588235284,0.0919191176470547,-0.015305147058830583,-0.015308823529409534,-0.030647058823529062,0.030650735294117812
15,4.089,0.75,14.599998000000001,15.024996,22.662496,22.858334,23.399995999999998,22.74166,14.17083,23.958333,4.15833,19.924999,14.179166,6.9874920000000005,19.954165,4.170831,4.17916,4.145829,0.07632600732601447,0.18313919413919158,0.21367399267398315,-0.16787912087913257,-0.06104761904763463,0.09155311355311159,0.09158241758241971,0.18316483516483942,0.13737362637362632,0.21367399267398315,0.27474725274725265,0.015252747252751494,-0.12209157509157646,0.04579120879120661,0.045791208791209854,-0.09158241758241646
16,4.361,0.75,14.579161,14.999993,22.670833000000002,22.870827,23.420827000000003,22.745831,14.112497,23.949997,4.183332,20.012498,14.17083,6.949997,19.97083,4.174995,4.183332,4.174995,-0.07660661764706633,-0.09192279411764687,0.03065073529412113,0.045930147058820696,0.0765845588235469,0.01533455882352754,-0.21445955882353387,-0.030647058823529114,0.09191911764705811,0.32168750000000484,-0.030647058823529114,-0.13784926470588535,0.06126838235294025,0.015308823529412825,0.015338235294116287,0.10722794117647094
17,4.634,0.75,14.591662000000001,14.962498,22.629165,22.8875,23.424998000000002,22.608328,14.179166,23.949997,4.149993,20.012498,14.216662,6.899993,19.979159000000003,4.170831,4.170831,4.162494,0.04579120879121636,-0.13734432234432145,-0.15263003663004132,0.06107326007326297,0.015278388278386344,-0.5036739926739873,0.24420879120879427,0.0,-0.12212087912087807,0.0,0.1678827838827798,-0.18316483516483292,0.030509157509169757,-0.015252747252748241,-0.045791208791209854,-0.045791208791209854
18,4.906,0.75,14.566659999999999,15.016658999999999,22.666662,22.937496,23.429164,22.75416,14.154164000000002,23.970826,4.162494,19.974994000000002,14.174994,6.970827,19.941665,4.154166,4.166659,4.162494,-0.09191911764706791,0.1991213235294078,0.13785661764705304,0.18380882352941275,0.015316176470580528,0.5361470588235256,-0.09191911764705485,0.07657720588234981,0.045959558823527424,-0.13788235294117102,-0.1531911764705871,0.26041911764705805,-0.13784558823530313,-0.06126838235294025,-0.015338235294116287,0.0
19,5.179,0.75,14.570832000000001,15.004166,22.687498,22.916667,23.379167000000002,22.712493000000002,14.079165,23.824994,4.1041609999999995,19.974994000000002,14.195832,6.945831999999999,19.983332,4.17916,4.15833,4.174995,0.01528205128205962,-0.045761904761901735,0.0763223443223542,-0.07629670329669984,-0.18313919413918506,-0.15262637362636156,-0.2747216117216178,-0.534183150183144,-0.21367399267399292,0.0,0.07632967032966823,-0.09155677655677835,0.15262637362637457,0.09155311355311484,-0.030509157509156743,0.045791208791209854
20,5.452,0.75,14.587497,14.979164,22.63333,22.883329,23.462495,22.708329,14.145828,23.933331000000003,4.129163,19.995832,14.208333,6.983327999999999,19.924999,4.145829,4.17916,4.170831,0.061043956043955044,-0.0915824175824135,-0.19841758241758506,-0.12211721611721821,0.30523076923076253,-0.015252747252758051,0.24418681318681398,0.3968388278388369,0.09158241758242001,0.07632967032966197,0.04579120879121001,0.1373479853479854,-0.21367399267399687,-0.12209157509157685,0.07630036630036685,-0.01525274725274829
21,5.724,0.75,14.554159,14.941661,22.65416,22.920831,23.420827000000003,22.704164,14.191659,23.933331000000003,4.149993,19.887494999999998,14.166665,6.962498,19.999997999999998,4.174995,4.17916,4.141665,-0.1225661764705901,-0.13787867647059163,0.07658088235294157,0.1378749999999996,-0.1531911764705801,-0.015312500000001525,0.16849632352941063,0.0,0.07658088235294157,-0.3982977941176553,-0.1531911764705866,-0.0765808823529383,0.2757316176470522,0.10722794117647058,0.0,-0.10722794117647058
22,5.997,0.75,14.579161,14.962498,22.612499,22.812493999999997,23.354165,22.737495,14.191659,23.937495,4.183332,20.020827,14.199996,6.945831999999999,19.979159000000003,4.17916,4.199997,4.187496,0.0915824175824135,0.07632600732600821,-0.15260439560440048,-0.3968388278388369,-0.24418315018316672,0.12209157509157685,0.0,0.015252747252732023,0.12212087912087848,0.4883956043956155,0.12209157509157685,-0.061047619047621814,-0.07633333333331571,0.015256410256411806,0.07632600732600495,0.16787912087912335
23,6.269,0.75,14.608328,15.020831999999999,22.641667,22.866663000000003,23.391659999999998,22.691664,14.162492,23.916666000000003,4.15833,19.924999,14.120833000000001,6.949997,19.949991999999998,4.15833,4.154166,4.174995,0.1072316176470626,0.21446323529411213,0.10723529411765462,0.19915073529413674,0.13784926470588163,-0.16849632352941063,-0.10723161764705606,-0.07657720588233649,-0.0919191176470578,-0.3523088235294148,-0.2910404411764682,0.015312500000001525,-0.10723161764707566,-0.07658088235294157,-0.16849632352941063,-0.04595955882353054
24,6.542,0.75,14.529164,14.999993,22.637494,22.920831,23.420827000000003,22.65416,14.195832,23.966662000000003,4.170831,19.916660999999998,14.166665,6.970827,19.941665,4.166659,4.15833,4.120827,-0.28997802197802397,-0.07633333333332873,-0.015285714285719931,0.19841758241757204,0.10683882783884484,-0.13737728937728377,0.12212454212453874,0.1831355311355319,0.04579120879120675,-0.03054212454213174,0.16788278388278036,0.07630036630036685,-0.030501831501823305,0.030509157509156844,0.01525274725274829,-0.1984175824175818
25,6.814,0.75,14.558331,14.999993,22.662496,22.916667,23.429164,22.649996,14.166665,23.887500000000003,4.183332,19.995832,14.166665,6.94166,19.879166,4.149993,4.174995,4.17916,0.1072316176470626,0.0,0.09191911764706108,-0.01530882352940951,0.030650735294107966,-0.01530882352940951,-0.10723161764705606,-0.29103676470588274,0.04595955882353054,0.29106985294118476,0.0,-0.10723161764705934,-0.22977573529411366,-0.0612720588235288,0.06126838235294005,0.21445955882352993
26,7.087,0.75,14.541666000000001,15.016658999999999,22.670833000000002,22.908331,23.424998000000002,22.712493000000002,14.145828,23.916666000000003,4.154166,19.962494,14.191659,6.94166,19.949991999999998,4.17916,4.141665,4.162494,-0.061043956043955044,0.061047619047615305,0.03053846153846497,-0.0305347985347982,-0.015260073260065562,0.2289267399267419,-0.07632600732600821,0.10683516483516504,-0.10683516483516504,-0.12211721611721821,0.09155311355311188,0.0,0.25943589743588574,0.10683882783882856,-0.12208791208791334,-0.061047619047621814
27,7.359,0.75,14.595827,14.954161999999998,22.645831,22.879163000000002,23.4375,22.733331,14.179166,23.933331000000003,4.187496,19.933325999999997,14.208333,6.970827,19.999997999999998,4.137492000000001,4.17916,4.129163,0.19912132352940715,-0.2297683823529427,-0.09191911764706108,-0.10723529411764156,0.04596323529410949,0.0766102941176385,0.1225661764705901,0.06126838235294005,0.12253676470588336,-0.10723529411765462,0.061301470588235527,0.10723161764705934,0.18384558823529312,-0.1531911764705866,0.13784926470588488,-0.12254044117646884
28,7.632,0.75,14.591662000000001,14.966663,22.620829,22.891665,23.374994,22.683327000000002,14.133327,23.85416,4.137492000000001,19.954165,14.191659,6.979164,20.004161,4.141665,4.170831,4.170831,-0.0152564102564053,0.045791208791216516,-0.09158241758242001,0.04579487179486376,-0.22895970695970377,-0.183164835164827,-0.16790842490842822,-0.29000366300367186,-0.1831648351648335,0.07633333333334175,-0.06107692307692343,0.030538461538461716,0.015249084249091282,0.015285714285710171,-0.030509157509160098,0.15263003663003533
29,7.905,0.75,14.554159,14.991665,22.599999,22.833332000000002,23.341663,22.729166,14.141663,23.900000000000002,4.15833,19.829162,14.120833000000001,6.962498,19.95833,4.154166,4.154166,4.149993,-0.13737362637362957,0.09158241758241321,-0.0763003663003666,-0.21367399267398315,-0.12209157509157646,0.16790842490841465,0.0305347985347981,0.16791208791209444,0.07632967032966823,-0.4578864468864442,-0.2594358974358914,-0.06104761904761836,-0.16787912087911955,0.045791208791209854,-0.06104395604395484,-0.07632967032966823
30,8.177,0.75,14.558331,14.99583,22.679162,22.816666,23.362493999999998,22.649996,14.179166,23.937495,4.17916,19.941665,14.15,6.929159,19.979159000000003,4.149993,4.154166,4.170831,0.015338235294119554,0.015312500000001575,0.2910404411764757,-0.06127205882353226,0.07658455882352078,-0.29106617647058064,0.13787867647059207,0.137849264705869,0.07658088235294182,0.4136139705882372,0.10723161764705642,-0.12256985294117598,0.07657720588236287,-0.015341911764705037,0.0,0.07661029411764529
31,8.45,0.75,14.562495,14.979164,22.641667,22.916667,23.304161,22.679162,14.166665,23.904163999999998,4.15833,20.033327,14.17083,6.970827,19.912497000000002,4.183332,4.17916,4.199997,0.015252747252745037,-0.061047619047615305,-0.1373443223443219,0.36630402930402567,-0.21367399267398385,0.10683516483516504,-0.04579120879121001,-0.12209157509157685,-0.07630036630036685,0.3357582417582402,0.07630036630036685,0.15263003663003533,-0.2441831501831537,0.12212087912087848,0.09155311355311514,0.10683516483516504
32,8.722,0.75,14.549994,15.024996,22.658332,22.920831,23.354165,22.649996,14.162492,23.924995,4.162494,19.987496,14.179166,6.949997,19.97083,4.124999,4.15833,4.15833,-0.04595955882353054,0.16849999999999613,0.06126838235294005,0.01530882352940951,0.1838382352941091,-0.10722794117647058,-0.015341911764704987,0.07658455882353359,0.01530882352940951,-0.16849632352941063,0.030647058823529014,-0.07658088235294157,0.21445955882352014,-0.21445955882352993,-0.07658088235294157,-0.15318749999999787
33,8.995,0.75,14.524992000000001,15.008331,22.604163000000003,22.937496,23.370831000000003,22.729166,14.10416,23.933331000000003,4.166659,19.937499,14.154164000000002,6.908329,19.999997999999998,4.129163,4.162494,4.15833,-0.0915824175824135,-0.061043956043955044,-0.19842124542123882,0.061043956043955044,0.061047619047634824,0.28999999999999204,-0.2136703296703301,0.030534798534811215,0.015256410256411806,-0.18313919413919866,-0.0915824175824135,-0.15263003663003533,0.10684249084248558,0.01525274725274829,0.015252747252745037,0.0
34,9.267,0.75,14.533329,14.958326,22.63333,22.854160999999998,23.4375,22.666662,14.158329,23.912492999999998,4.120827,19.999997999999998,14.187495,6.9666630000000005,19.987496,4.170831,4.145829,4.191661,0.0306507352941145,-0.18384191176470763,0.10723161764704954,-0.30637867647059425,0.24510661764704914,-0.22979411764706068,0.19915073529411714,-0.07661029411766462,-0.16849999999999937,0.22977573529411366,0.12254044117646558,0.21446323529411868,-0.04596323529410949,0.1531911764705866,-0.06126838235294005,0.12254044117646884
35,9.54,0.75,14.587497,14.958326,22.65416,22.899991999999997,23.420827000000003,22.729166,14.162492,23.84166,4.133328,19.979159000000003,14.183331,6.9583260000000005,19.991659000000002,4.154166,4.183332,4.166659,0.19841758241758506,0.0,0.07630036630036685,0.1678791208791201,-0.06107326007325015,0.22895238095238327,0.015249084249084775,-0.2594615384615271,0.04579120879120675,-0.07633333333331571,-0.015252747252745037,-0.030538461538461716,0.015249084249091282,-0.061043956043955044,0.13737362637362677,-0.09158241758241675
36,9.813,0.75,14.554159,14.970827,22.629165,22.920831,23.395833,22.691664,14.145828,23.862496,4.166659,19.95833,14.158329,6.954161,19.979159000000003,4.162494,4.170831,4.149993,-0.12211721611721742,0.04579120879120971,-0.09155677655677806,0.07633333333334125,-0.0915531135531243,-0.13736996336996235,-0.06104029304029438,0.07632234432234095,0.12209157509157606,-0.07629670329671259,-0.09158241758241942,-0.015256410256411708,-0.04578754578754294,0.03050549450549313,-0.04579120879120971,-0.061047619047618164
37,10.085,0.75,14.591662000000001,14.979164,22.562495,22.795828,23.445829,22.608328,14.095831,23.862496,4.149993,20.016661000000003,14.074993000000001,6.954161,19.95833,4.149993,4.166659,4.170831,0.13787867647059163,0.030650735294121028,-0.24511029411765423,-0.45956985294117436,0.18380882352941216,-0.3063823529411732,-0.18381249999999763,0.0,-0.0612720588235288,0.21445220588236222,-0.3063823529411732,0.0,-0.07657720588236262,-0.04595955882352727,-0.015338235294116239,0.07661029411764504
38,10.358,0.75,14.566659999999999,15.004166,22.616665,22.833332000000002,23.387496,22.695827,14.174994,23.916666000000003,4.154166,19.929163000000003,14.129161999999999,6.929159,19.97083,4.162494,4.15833,4.129163,-0.09158241758242652,0.0915824175824135,0.1984249084249186,0.1373772893772968,-0.21367399267399687,0.3205091575091619,0.2899743589743572,0.1984249084249186,0.015285714285713426,-0.32050549450549515,0.19842124542123882,-0.09158241758241675,0.04578754578754324,0.04579120879120675,-0.030509157509156844,-0.15263003663003533
39,10.63,0.75,14.574995999999999,14.991665,22.620829,22.858334,23.383331,22.645831,14.116661,23.94166,4.170831,19.966667,14.095831,6.845832,19.916660999999998,4.149993,4.15833,4.1041609999999995,0.030647058823529014,-0.04595955882353054,0.01530882352940951,0.09191911764704802,-0.015312500000001525,-0.18380882352941216,-0.21445955882352666,0.09188970588233802,0.06126838235294005,0.13788235294117057,-0.12254044117646558,-0.30634926470588425,-0.19915073529412367,-0.04595955882352727,0.0,-0.09191911764706108
