POINT,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15
18,4.011,0.67,1.7312495e-05,1.7849994e-05,1.3824995e-05,1.3749996e-05,1.415e-05,1.3758326e-05,1.6874998e-05,1.4837496e-05,3.624996e-06,1.9312492e-05,1.6924992e-05,8.874997e-06,1.9291663e-05,3.62916e-06,3.624996e-06,3.599993e-06
19,4.233,0.69,1.6725e-05,1.7258326e-05,1.3066665e-05,1.3016661e-05,1.3424992e-05,1.3112497e-05,1.6370828e-05,1.4058328e-05,3.745826e-06,1.9479163e-05,1.639583e-05,8.637492e-06,1.9445833e-05,3.733325e-06,3.762492e-06,3.79583e-06
20,4.456,0.71,1.6099993e-05,1.6691662e-05,1.2237493e-05,1.2237493e-05,1.2587499e-05,1.2233329e-05,1.5729165e-05,1.3249994e-05,3.899996e-06,1.9562498e-05,1.575416e-05,8.362492e-06,1.9566663e-05,3.908332e-06,3.908332e-06,3.879165e-06
21,4.679,0.73,1.5454165e-05,1.5991664e-05,1.1358333e-05,1.1379162e-05,1.1704159e-05,1.1474999e-05,1.509583e-05,1.2370832e-05,4.062494e-06,1.9733325e-05,1.5099994e-05,8.133332e-06,1.9649999e-05,4.054165e-06,4.070831e-06,4.033327e-06
22,4.902,0.75,1.4716665e-05,1.5179166e-05,1.0466663e-05,1.0516659e-05,1.0841663e-05,1.0662492e-05,1.4333327e-05,1.1454161e-05,4.183332e-06,1.9854164e-05,1.4370831e-05,7.841659e-06,1.9754163e-05,4.15833e-06,4.166659e-06,4.170831e-06
23,5.125,0.77,1.3899994e-05,1.4349993e-05,9.533326e-06,9.67083e-06,9.95833e-06,9.816663e-06,1.3558332e-05,1.0587493e-05,4.349994e-06,1.9974994e-05,1.3516665e-05,7.512498e-06,1.9908333e-05,4.333329e-06,4.329165e-06,4.312499e-06
24,5.348,0.79,1.3074994e-05,1.3454159e-05,8.841665e-06,9.091664e-06,9.354162e-06,9.174999e-06,1.2662498e-05,9.841665e-06,4.470825e-06,2.0070831e-05,1.2716659e-05,7.262492e-06,2.0049993e-05,4.470825e-06,4.466661e-06,4.487499e-06
25,5.57,0.81,1.2158331e-05,1.2533331e-05,8.479166e-06,8.741665e-06,9.029166e-06,8.791661e-06,1.1812496e-05,9.445826e-06,4.629159e-06,2.0187497e-05,1.1862493e-05,6.995829e-06,2.0133328e-05,4.599992e-06,4.570826e-06,4.587499e-06
26,5.793,0.83,1.1308328e-05,1.1575e-05,8.45e-06,8.733328e-06,9.05416e-06,8.67916e-06,1.089166e-05,9.387493e-06,4.745825e-06,2.0295827e-05,1.0920827e-05,6.720829e-06,2.0333329e-05,4.783328e-06,4.762499e-06,4.783328e-06
27,6.016,0.85,1.0499994e-05,1.070416e-05,8.804162e-06,9.045832e-06,9.570829e-06,9.033331e-06,1.0179162e-05,9.729163e-06,4.891666e-06,2.0429166e-05,1.0204164e-05,6.554159e-06,2.0424994e-05,4.883329e-06,4.870828e-06,4.891666e-06
