2999.69	1118.54
2998.44	1154.62
2997.19	1182.48
2995.94	1148.21
2994.7	1190.09
2993.45	1171.86
2992.2	1179.67
2990.95	1165.45
2989.7	1177.27
2988.45	1203.09
2987.2	1070.79
2985.96	1194.68
2984.71	1174.46
2983.46	1176.26
2982.21	1074.06
2980.96	1131.87
2979.71	1191.66
2978.45	1167.47
2977.2	1203.24
2975.95	1107.12
2974.7	1184.85
2973.45	1156.68
2972.2	1120.53
2970.95	1112.35
2969.69	1134.13
2968.44	1115.96
2967.19	1195.62
2965.94	1135.54
2964.68	1117.39
2963.43	1123.18
2962.18	1154.91
2960.92	1090.89
2959.67	1114.63
2958.42	1116.44
2957.16	1128.2
2955.91	1132
2954.65	1131.8
2953.4	1107.7
2952.14	1127.43
2950.89	1117.28
2949.63	1142.98
2948.38	1144.78
2947.12	1084.86
2945.86	1074.73
2944.61	1144.19
2943.35	1126.09
2942.1	1104.01
2940.84	1068.03
2939.58	1113.58
2938.32	1119.35
2937.07	1117.17
2935.81	1115
2934.55	1186.34
2933.29	1062.96
2932.03	1052.84
2930.77	1078.48
2929.52	1143.83
2928.26	1157.53
2927	1093.81
2925.74	1087.67
2924.48	1105.34
2923.22	1097.22
2921.96	1093.06
2920.7	1094.86
2919.44	1060.96
2918.18	1153.97
2916.91	1133.95
2915.65	1090.15
2914.39	1139.5
2913.13	1081.85
2911.87	1089.59
2910.61	1156.75
2909.34	1122.88
2908.08	1075.17
2906.82	1108.64
2905.56	1120.32
2904.29	1102.32
2903.03	1068.5
2901.76	1143.49
2900.5	1058.24
2899.24	1127.28
2897.97	1051.94
2896.71	1122.94
2895.44	1128.67
2894.18	1114.65
2892.91	1031.46
2891.65	1056.97
2890.38	1090.37
2889.12	1086.23
2887.85	1090
2886.58	1117.45
2885.32	1056.07
2884.05	1109.17
2882.78	1093.2
2881.52	1049.6
2880.25	1025.75
2878.98	1031.49
2877.71	1114.14
2876.45	1137.61
2875.18	1088.13
2873.91	1089.91
2872.64	1030.61
2871.37	1123.03
2870.1	1032.23
